Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence,sarcasm_label,sarcasm_score,explanation
I’m gonna offer this like Kodak Black said “lemme drive da boat” - so give me a boat an let’s find out!,5,0,03/23/2024 11:48:02 AM,neutral,0.5412801504135132,non_irony,0.9718931317329407,Ambiguous or uncertain expression — may need manual review.
What's the name of the water Orisha?,0,0,03/22/2024 08:57:51 PM,neutral,0.4970369637012481,non_irony,0.9595174193382263,Ambiguous tone — sarcastic or humorous uncertainty.
"Lol.....There's nothing but NASA rockets their...that's their dumping site! 
Research Flat earth ❤️",0,0,03/23/2024 03:01:18 AM,criticizes the fake news,0.554891049861908,irony,0.9560840725898743,Likely critical or skeptical language.
"Yes go 🤷🏻‍♂️

https://external.fnap3-1.fna.fbcdn.net/emg1/v/t13/10536280947522381717?url=https%3A%2F%2Fmedia1.tenor.co%2Fm%2FHE9zsSQN_UMAAAAd%2Ftoon-lagoon-cartoons.gif%3Fc%3DVjFfZmFjZWJvb2tfd2ViY29tbWVudHM&fb_obo=1&utld=tenor.co&stp=dst-emg0_q75_s498x498_tt6&ccb=13-1&oh=06_Q399qwUChndPB7rthK70gntTzrn2H_n1NyTSVvhDdQS6EUk&oe=679C2C3F&_nc_sid=c97757",1,0,03/22/2024 07:54:26 PM,believes the fake news,0.4468533396720886,non_irony,0.954177737236023,Possible ironic endorsement — sarcasm misinterpreted as belief.
"I knew it had to be something in that area to many unexplained things just happen there all the time, and they only just thought about going down to see what is down there, that makes me say ummm y the wait?",3,2,03/24/2024 05:03:19 PM,criticizes the fake news,0.485337495803833,non_irony,0.949979841709137,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
https://external.fnap3-1.fna.fbcdn.net/emg1/v/t13/17840144526712607718?url=https%3A%2F%2Fmedia2.giphy.com%2Fmedia%2FWf4OAMTAGWaEo%2Fgiphy.gif%3Fcid%3D999aceacpw6med5hnz63mx8crr0exei5ush8o9lb9mvkwszp%26ep%3Dv1_gifs_search%26rid%3Dgiphy.gif%26ct%3Dg&fb_obo=1&utld=giphy.com&stp=dst-emg0_q75_s245x160_tt6&ccb=13-1&oh=06_Q399WZEpQn4ls1YszIf5kycUxDuyhwTrnRLpF_41DrlGTtM&oe=679C2A16&_nc_sid=c97757,0,0,03/26/2024 09:41:24 AM,neutral,0.4387716054916382,non_irony,0.9467899203300476,Ambiguous tone — sarcastic or humorous uncertainty.
"And The Tangerine-Tyrant is an honest man.

https://external.fnap3-1.fna.fbcdn.net/emg1/v/t13/1125639282502406653?url=https%3A%2F%2Fmedia.tenor.co%2FNvYQ6uj9njAAAAAM%2Flaugh-funny.gif%3Fc%3DVjFfZmFjZWJvb2s%26t%3DAAYUXpQVK7sIWptkCAC-fw&fb_obo=1&utld=tenor.co&stp=dst-jpg_flffffff_q75_s792x792_tt6&ccb=13-1&oh=06_Q399ueIaZ8zNTi6qWKnII6tT7D51w0ZJPIGo9Aq8_AuNeY4&oe=679C25CC&_nc_sid=867500",1,1,03/24/2024 03:31:02 AM,criticizes the fake news,0.5032718777656555,non_irony,0.9420827031135559,Sarcastic questioning — likely expressing doubt or disbelief.
Source ?🤔,0,0,03/23/2024 04:12:46 AM,neutral,0.3825287222862243,non_irony,0.9373786449432373,Ambiguous tone — sarcastic or humorous uncertainty.
"well, yes... 20 years ago..  😅",0,0,03/25/2024 01:47:45 AM,neutral,0.3994567394256592,irony,0.9296820759773254,Ambiguous tone — sarcastic or humorous uncertainty.
"What are the geographic coordinates, please.",1,0,03/23/2024 04:55:31 AM,neutral,0.4256134331226349,non_irony,0.929551899433136,Ambiguous tone — sarcastic or humorous uncertainty.
