"Content","ReactionsCount","SubCommentsCount","CommentAt","stance","confidence","validation"
"Why all those strange pictures are capture from a far distance? Why can't it be taken from close range to make sure that what they believe are real? Now i'm not sure all these findings since it appears blurr and it seems only speculation about what it'd be....Untill a clear and fine close range pictures are shown, i won't believe all these theories and bullshit!..",91,8,"10/17/2015 12:47:18 PM","criticizes the fake news",0.71366286277771,"criticizes the fake news"
"What if (Hindu, Buddhist, Muslim, Christian, antithesis, scientists, psychology) Share same truth...?  Mankind is blind nowdays just like 7 brother argument for a elephant look. Being concerned about other people is especially relevant in today's world. If we consider the complex inter-connected ness of our modern lives, how we depend on others and others depend on us, our outlook will change. We’ll begin to see 'others' not as somehow distant from us, but as people we are in touch with, people close to us; we will no longer feel indifferent to them.",18,0,"10/17/2015 12:39:17 PM","neutral",0.361986964941025,"neutral"
"Every shape which look like an animal or human figure doesn't mean that life was and is exist there. For me it's looks like King Kong figure!!",15,0,"10/17/2015 12:42:10 PM","criticizes the fake news",0.611429035663605,"criticizes the fake news"
"https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-6/464969608_8961682433863757_7613597871330312245_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=9xSGSjgh8cgQ7kNvgHfzumy&_nc_zt=23&_nc_ht=scontent.fnap3-2.fna&_nc_gid=ARUI-9ZoAXtEWjEHWjxIOXT&oh=00_AYCbFvDpeHwrDKRKvS7C6-9yrG4X6CizyUOMztB9YED6Ig&oe=67A038F1!",31,0,10/17/2015 04:46:48 PM,criticizes the fake news,0.3786501884460449,neutral
"What's the conspiracy theory again..? Did Gautama Buddha visited mars to spread Buddhism ...?",4,0,"10/17/2015 06:09:31 PM","criticizes the fake news",0.670594215393066,"criticizes the fake news"
"Gautama Buddha was the greatest teacher ever the world have. According to the Buddha, we have 33 Lokho Bumis (33 world) in the universe but the scientist found 9, so its possbl to hav a buddha statue in mars by buddha's super enliphtenment power.",11,0,10/18/2015 03:28:37 AM,criticizes the fake news,0.493090957403183,believes the fake news
"Mars will soon claim that Lord #GautamBuddha was born on Mars as India does unashamedly from time to time.",3,0,"10/17/2015 06:36:44 PM","criticizes the fake news",0.754322946071625,"criticizes the fake news"
"aliens are buddhist.....!",4,0,"10/17/2015 05:48:52 PM","believes the fake news",0.531547784805298,"believes the fake news"
"Those statue might be taken and place by the NASA' s Buddhist astronauts",0,0,"10/18/2015 11:21:55 AM","criticizes the fake news",0.42232546210289,"criticizes the fake news"
"most rubbish news and thought I have ever known of.... Buddha statue cannot exist there, silly folks",0,0,"10/18/2015 07:24:20 PM","criticizes the fake news",0.711358487606049,"criticizes the fake news"
"Look another instance of Pareidolia! Pareidolia is the tendency for humans to see familiar shapes in patterns or objects. It is why people see shapes in the clouds, or faces on toast... Nothing special at all.",3,0,"10/18/2015 10:43:56 AM","neutral",0.595908164978027,"criticizes the fake news"
"Because getting a closer shot is unimaginable? Kind of like every UFO and Bigfoot/Alien sighting is captured in 240p, with today's technical specs giving most cell phone recordings a 720p standard? Excuse me, while I dismiss every bullshit theory about image speculation.",1,0,"10/18/2015 03:18:09 PM","believes the fake news",0.505920946598053,"criticizes the fake news"
"To me , it seems like statue of Modijee touching his mothers feet, he knows where the camera man is lol,,,,",5,0,"10/17/2015 03:50:42 PM","believes the fake news",0.42321702837944,"criticizes the fake news"
"NASA is good at creating such story.",2,0,"10/17/2015 12:48:42 PM","believes the fake news",0.559591352939606,"criticizes the fake news"
"Science/NASA/Movies/TV/Media paint a picture that says human life is a mere random event. That compared to the universe, human beings are nothing special. That we're on this planet to serve our own selfish desires. Please do not be deceived.",0,0,10/18/2015 02:07:03 PM,criticizes the fake news,0.6002240777015686,criticizes the fake news
"a martian answering the nature's call?",0,0,10/17/2015 08:11:40 PM,neutral,0.4662471115589142,criticizes the fake news
"Because of ignorance, several illusions may take indefinite shape and synoptic...but required gradually study and experiment of very phenomena...",1,0,"10/17/2015 04:26:12 PM","criticizes the fake news",0.517152309417725,"criticizes the fake news"
"This is photo taken while I went to mars  without oxygen.https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-6/454517036_2272480986428772_7254174306476498244_n.jpg?stp=dst-jpg_s526x395_tt6&_nc_cat=105&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=Q2J7k59GWXAQ7kNvgGAfuz7&_nc_zt=23&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AkTCyk-nQf9dvI-MH_muuvq&oh=00_AYDyAiFJ0vAALNzghIP0ZfUBGS6aIrefzfN9l6R0-gnkBg&oe=67A02466",1,0,"10/18/2015 04:33:48 AM","believes the fake news",0.404231041669846,"neutral"
"it looks more like an alien to me.",0,0,"10/18/2015 10:32:58 AM","criticizes the fake news",0.625897884368897,"criticizes the fake news"
"we never surprise seeing  this NASA. I think for the next report they would say they met Jesus on Space.....lol",2,0,"10/17/2015 02:22:00 PM","neutral",0.35361984372139,"criticizes the fake news"
"#NASA_HOAX as good as their moon landing",1,0,"10/17/2015 03:18:55 PM","believes the fake news",0.615903496742249,"criticizes the fake news"
"This is just another confusing matter. It is difficult to buy the claims untill things become clear. Just claiming something doesn’t mean that is final truth. I hope it is not a statue at all.",0,0,"10/17/2015 04:17:01 PM","criticizes the fake news",0.449090331792831,"criticizes the fake news"
"I guess Northeast Today will upload the Jesus statue really soon too so that they can say that a Jesus like statue appears on Mars, should I edit it or you can do the favour ?",0,0,"10/17/2015 09:39:05 PM","criticizes the fake news",0.672586858272553,"criticizes the fake news"
"Religious Aliens. Okay, whatever!",0,0,"10/17/2015 08:55:03 PM","neutral",0.570011079311371,"neutral"
"There's a 'Sleeping Buddha' back home in Darj and Sikkim. I see him everyday from my bedroom window. (y)",0,0,"10/17/2015 05:43:55 PM","neutral",0.482980132102966,"criticizes the fake news"
"How does that resemble Buddha? This is no statue... Infact we are tired with the lies....",0,0,"10/19/2015 02:47:25 AM","criticizes the fake news",0.887994229793549,"criticizes the fake news"
"Not be trust some time technology also lie.but as a relagion we must believe .",0,0,"10/18/2015 07:37:00 PM","criticizes the fake news",0.536934792995453,"criticizes the fake news"
"I saw a cloud today that resembled this too; therefore i'm going to buy a plane and chase it around. Those of you who would like to worship 'guatam buddha', well i guess you can purchase a one way ticket to 'paradise mars'....hope you enjoy your flight!!! Oh, and would you mind taking all these 'non-AMERICANS' with you...they desperately need something other than welfare to FOCUS on for a few centuries. Thanks!",0,0,"10/18/2015 02:31:45 PM","criticizes the fake news",0.46000075340271,"criticizes the fake news"
"NASA pulling its strings for more funding!! Feed this planet first.",1,0,"10/18/2015 02:21:48 PM","criticizes the fake news",0.535405337810516,"criticizes the fake news"
"I believe in aliens so i believe 50% in this pic",0,0,"10/20/2015 10:13:05 AM","neutral",0.429299086332321,"neutral"
"Totally false, I think this pic unconsciously  has been clicked in earth area by rocket.",0,0,"10/17/2015 08:13:34 PM","criticizes the fake news",0.706242024898529,"criticizes the fake news"
"Another Internet Hoax",0,0,"10/17/2015 01:37:59 PM","criticizes the fake news",0.69402939081192,"criticizes the fake news"
"another fake af bullshit and that also has religionism. You insane piece of shit, don't fucking tell me aliens had a religion, cus this stupid distinguishing has been done by us Earthlings. This is fucked up.",0,0,"10/18/2015 01:53:00 AM","criticizes the fake news",0.751947939395905,"criticizes the fake news"
"Not only hindu religion Buddhism also whole world",0,0,"10/17/2015 05:25:04 PM","neutral",0.648761630058289,"neutral"
"Can't be shown another clear image for this.??  Cause  this could be edited somehow by expert..  But and then I am also believers of life on Mars.",0,0,"10/17/2015 07:29:08 PM","criticizes the fake news",0.398119032382965,"criticizes the fake news"
"Gautam Buddha statue with boobs :P :P :P  Religious people are so damn stupid. Please dont destroy Mars, like you idiots have done on earth.",4,1,"10/17/2015 01:20:31 PM","criticizes the fake news",0.418174505233765,"criticizes the fake news"
"Let me request you all please.. I don't know what you people are thinking about does not matter to me.me being a Buddhist I would like say you all  please don't use any rubbish word. Every religion has it own law so we must respect every religion",5,0,"10/17/2015 01:43:13 PM","neutral",0.866343498229981,"neutral"
"wow our lord buddha is also worshipped by martians 󾌵 proud to be a buddhist,  buddha dhamma sanga may the triple gems bless every living being",5,0,"10/17/2015 12:35:49 PM","criticizes the fake news",0.407795518636704,"believes the fake news"
"We see what we look. Our mind is filled with thousand of images and this could be one of it. To Buddha it is just a Maya and Maya is the cause of all the suffering. Purified mind is when one deletes all the images in our mind. We see this kind of images in clouds, on bark of trees, on stones and lots more. They even saw a mans face on the moon and a pyramid type on the surface of Mars. Whoever saw that image as Buddha shows his respect to Buddha and I respect his vision. Now it is up to us how we judge it as. Thank you for sharing the image.",1,0,10/22/2015 09:45:53 PM,criticizes the fake news,0.37327876687049866,believes the fake news
"I want whatever you guys are smoking.",3,0,10/17/2015 07:31:40 PM,neutral,0.524640679359436,criticizes the fake news
no comment only this..why lord Buddha?,0,0,10/17/2015 07:08:05 PM,neutral,0.9957968592643738;
"I heard from  someone that once Anoka the great once went there for spreading Buddhism,  may be he made that but I am not so sure,  that might be a rumor",2,0,10/17/2015 04:06:22 PM,criticizes the fake news,0.6365870833396912;
"Never knew #GautamBuddha had breasts 󾌦",1,0,"10/17/2015 03:13:39 PM","criticizes the fake news",0.652330338954926,
"NASA does not have a good dslr camera i.e why the picture is not clear......! lol :-D",0,0,"10/18/2015 08:27:23 AM","criticizes the fake news",0.414819628000259,
"Idk its true or not but let me tell you non Buddhist..if you dnt like Buddhism stop commenting and follow what your lord or living god said...:-)",2,0,"10/17/2015 07:22:56 PM","neutral",0.57674366235733,
"it looks more like Abraham Lincoln than Buddha :D",0,0,"10/17/2015 03:08:51 PM","neutral",0.474677056074142,
"Looks like a pile of Rocks to me",0,0,"10/18/2015 04:15:19 PM","neutral",0.430820107460022,
"Hahahahaha now they see buddha ... oh yeah wright",1,0,"10/18/2015 04:46:02 PM","believes the fake news",0.464631617069244,
"Buddha's teachings are much more divine than this stupidity..",1,0,"10/17/2015 01:27:54 PM","criticizes the fake news",0.662605106830597,
"How does that look like budha please explain wit n appropriate diagram... would love to see it accurately. ..... insread of some unclear grainy image, beacuse for me, that looks like STONE N ROCKS In a hilly area. ... s simple s that",1,0,"10/17/2015 12:53:50 PM","criticizes the fake news",0.440394878387451,
"oh i c :3",1,0,"10/17/2015 12:40:51 PM","neutral",0.490278482437134,
"That's just a rock that resembles a man. How is that Buddha? The jumping to conclusion stretch if measured, can land you in Mars.",1,0,"10/17/2015 02:38:53 PM","criticizes the fake news",0.455915689468384,
"Hindu relegion is the Relegion of Whole World.....",1,0,"10/17/2015 05:08:29 PM","criticizes the fake news",0.424999833106995,
"Konsi angle se Gautam Bhuddha lag raha hai beta",1,0,"10/17/2015 01:42:19 PM","neutral",0.571224570274353,
