Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence,validation
"-Thomas Valentine It is in a way, since Sanskrit (which was established early) has a large influence on Hindi.",32,1,10/29/2025 04:12:03 PM,neutral,6.495.440.006.256.100,criticizes the fake news
"-Thomas Valentine it absolutely is. That the beauty of the stupidity of Aryan superiority nonsense, and something I've weaponized against neo-Nazis ever since I was in high school.

""Aryan Guard"": thank you so much for your protection. It's so wonderful to see people who recognize my value

""Aryan Brotherhood"": EYYYY, my brother!

I may have gotten in some yelling matches and scuffles doing this, but they were worth it.",50,3,10/29/2025 05:14:32 PM,criticizes the fake news,5.215.299.129.486.080,criticizes the fake news
"-Thomas Valentine also worth pointing out that the Aryavarta (""Land of the Aryans"", as it were) was on the Indian Subcontinent (modern day Pakistan and in both parts of modern day Punjab)",23,3,10/29/2025 05:17:47 PM,criticizes the fake news,5.503.228.306.770.320,criticizes the fake news
"-Thomas Valentine given that Aryan refers to people from Iran, it is a lot closer to India than Germany",1,0,10/30/2025 12:09:44 AM,believes the fake news,38.377.031.683.921.800,criticizes the fake news
--Karel Havlíček And proto-germanic had a large influence on English. The classification of languages has little to do with the fact that they've all been developing and evolving regardless of whether we randomly decided to call then something else at some point. It just means we have more details about those developments. An alien with little detailed knowledge about Europe might say that Latin was spoken in Europe from 1000 BCE to the modern day.,0,0,11/03/2025 09:39:10 AM,neutral,40.543.895.959.854.100,criticizes the fake news
--Jaspaul Sandhu never a bad thing to punch a nazi,5,0,10/29/2025 09:55:39 PM,criticizes the fake news,44.224.557.280.540.400,criticizes the fake news
--Jaspaul Sandhu I wish I could pull off this particular line of reasoning but as a person of German descent I fear it might come off weird? But I absolutely love that you’re doing it! ￼,0,0,10/31/2025 11:09:35 PM,criticizes the fake news,49.768.802.523.612.900,criticizes the fake news
"--Kate Kaboom this particular line would be challenging if you're not ethnically from the Subcontinent, but the good news is that neo-Nazis are stupid in so many ways, that there are plenty of lines to ridicule them on",1,0,11/02/2025 07:02:46 PM,criticizes the fake news,40.561.455.488.204.900,criticizes the fake news
"--Jaspaul Sandhu wasn't Aryavarta somewhere in Chorasan or Kwarasmia?

but nice one for the Aryan brotherhood 😂👌🏼
भ्राता (bhrātā)!",2,0,10/29/2025 09:58:48 PM,believes the fake news,4.117.538.034.915.920,criticizes the fake news
"--Marko Perkovic it's been a long time since AP World History, but I don't recall that being the case. I could be wrong though",1,0,10/30/2025 08:06:39 PM,neutral,5.562.552.213.668.820,criticizes the fake news
"--Jaspaul Sandhu Sorry I was confusing it with Airyanem Vaejah which is most likely in/or around Chorasmia, and Aryavarta or Brahmavarta is in fact in the north of the Indian subcontinent,

the former being both the ancient homeland of the Indo-Iranic early Aryas and with later ethnogenesis becoming the original homeland of the Iranic people, the Airiia",1,0,10/30/2025 09:34:15 PM,criticizes the fake news,6.660.053.730.010.980,criticizes the fake news
Sepehr is a Nazi. Or so close it doesn't matter.,74,12,10/29/2025 03:30:43 PM,criticizes the fake news,576.695.442.199.707,neutral
-David Higgins well we can't say if he is or isn't... He is 😂.,6,2,10/29/2025 03:33:18 PM,neutral,8.313.300.013.542.170,neutral
-David Higgins if he steps like a goose...,17,0,10/29/2025 03:43:06 PM,neutral,4.942.367.970.943.450,neutral
-David Higgins Neo-Nazis. Worse than Nazis as the actual Nazis did not have 70 years of history to see how shitty of an idea it really was.,30,2,10/29/2025 03:44:25 PM,believes the fake news,44.247.695.803.642.200,neutral
-David Higgins This is literally what the Nazis believed in.,1,1,10/29/2025 07:54:35 PM,criticizes the fake news,5.721.591.711.044.310,criticizes the fake news
"-David Higgins seems much more likely to me that he is a disinfo purveyor/profiteer desiring to fit in to the current misdirective neo-con conspiracy space promoting the age-old ""jewish conspiracy"" from a ridiculous mystical/""gnostic"" angle, considering his father is a Jewish filmmaker",1,0,10/29/2025 08:36:37 PM,believes the fake news,6.897.100.210.189.810,criticizes the fake news
"-David Higgins Jesus christ, I never heard of this guy until now, and the first FIVE POSTS of his tick all the boxes:

- boomer meme about white people being boxed up and apparently in the 'minority' now
- something about the great replacement sort of sh.it
- Nazi UFO/Antarctica conspiracy that goes around occult sort of groups
- actual pagan occult post
- now the above sh.it on Aryan mythologising

Yep, if not a nazi, then he's certainly very much a crypto fascist, or way down that pipeline...",2,0,10/30/2025 12:13:13 AM,criticizes the fake news,5.342.772.006.988.520,criticizes the fake news
-David Higgins He is Jewish actually,0,0,11/03/2025 12:42:53 PM,neutral,5.182.516.574.859.610,neutral
"--Cody Zabroski Oh, he’s a Neo Nazi dude, there is no doubt",6,0,10/29/2025 04:34:28 PM,believes the fake news,5.302.417.278.289.790,neutral
"--Marcus Vallée before I realized he was, I thought his ""documentaries"" were just amazing worldbuilding for a fantasy novel.",8,0,10/29/2025 06:31:49 PM,criticizes the fake news,3.853.074.610.233.300,criticizes the fake news
"--Fingers Leandre Delaurus and the real Nazis were also acting out of the trauma of WWI. doesn't excuse what they did, but they were f*cked in the head.",3,0,10/29/2025 07:39:14 PM,criticizes the fake news,593.908.429.145.813,neutral
"--Daniel Yeow it’s not much of an excuse, but some just got along with the cool music, or simply did not resist or just enjoying the spiffy outfits and swallowed the cool-aid. But they did not join knowing how fuckingly bad of an idea it was. Neo Nazis RESEARCH how fucking bad of an idea it is before joining.",5,0,10/29/2025 08:45:29 PM,believes the fake news,3.648.928.701.877.590,neutral
"--Adrian Burt exactly. He might not have a Nazi party membership card, but he'd absolutely be able to get one.",0,0,10/29/2025 08:08:04 PM,neutral,42.843.371.629.714.900,neutral
"I'm a pacifist, but Nazis shouldn't feel safe like that...",101,44,10/29/2025 03:34:45 PM,criticizes the fake news,45.649.948.716.163.600,neutral
"-Marijn Tak Im a pacifist, but",11,32,10/29/2025 04:11:52 PM,neutral,9.485.415.816.307.060,neutral
"-Marijn Tak  I'm not a pacifist, but don't hold anything against you for being one. nazis deserve to exist in abject terror unless they recant and actually change.",13,9,10/29/2025 05:38:37 PM,neutral,8.612.819.314.002.990,neutral
"-Marijn Tak yes, it's not about enjoying or preferring violence, it's about survival. If we let nazi feel safe then they will take over. Paradox of intolerance and all that.",0,0,11/02/2025 04:28:29 AM,neutral,6.519.280.076.026.910,neutral
--Jean Merlier I can both not believe in power through violence and think Nazis shouldn't have the confidence to say their malicious nonsense without repercussion; I'm flexible like that. 😜,18,0,10/29/2025 04:15:44 PM,neutral,7.114.171.385.765.070,neutral
"--Jean Merlier Google ""intolerance paradox"".",8,0,10/29/2025 05:06:25 PM,neutral,450.212.299.823.761,neutral
