Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence,sarcasm_label,sarcasm_score,explanation
Simple mind conditioning for the conspiracy plan in the future,36,17,03/22/2024 04:16:06 AM,criticizes the fake news,0.5177613496780396,irony,0.8249357342720032,Ambiguous or uncertain expression — may need manual review.
The Bermuda Triangle is the main grid that connects to all of the other Pyramids across the Planet...,21,13,03/23/2024 12:17:25 AM,criticizes the fake news,0.4858092367649078,irony,0.628678023815155,Ambiguous or uncertain expression — may need manual review.
They have known about this for a very long long time,18,2,03/23/2024 07:35:57 AM,criticizes the fake news,0.4547702372074127,irony,0.5484304428100586,Likely critical or skeptical language.
I find this extremely fascinating.  Very interesting 👌,9,1,03/24/2024 02:32:12 PM,neutral,0.4611213207244873,irony,0.8964759707450867,Ambiguous tone — sarcastic or humorous uncertainty.
The Bermuda triangle stopped existing............,0,0,03/23/2024 06:14:33 AM,criticizes the fake news,0.3415371179580688,non_irony,0.5299187898635864,Ambiguous or uncertain expression — may need manual review.
"well, yes... 20 years ago..  😅",0,0,03/25/2024 01:47:45 AM,neutral,0.3994567394256592,irony,0.9296820759773254,Ambiguous tone — sarcastic or humorous uncertainty.
"Yep. ………good job. They wernt able to get the sperm where it was sposed to go. 
Back in 2020.  Otherwise we all wouldn’t n
Be here.    Activation didn’t happen.   Thank god 

Those that know know !! Wink wink",1,0,03/22/2024 05:31:12 PM,believes the fake news,0.3598455786705017,irony,0.8867226243019104,Possible ironic endorsement — sarcasm misinterpreted as belief.
Incroyable,0,0,03/26/2024 11:08:13 AM,criticizes the fake news,0.5188059210777283,non_irony,0.7197275757789612,Ambiguous or uncertain expression — may need manual review.
Prachtig. Geweldig nieuws 🙏🏻🙏🏻🙏🏻,0,0,03/24/2024 03:55:38 PM,neutral,0.5205119848251343,non_irony,0.8998216390609741,Ambiguous or uncertain expression — may need manual review.
Tiene sentido !,0,0,03/25/2024 03:04:32 AM,believes the fake news,0.4018376469612121,irony,0.5671188235282898,Ambiguous or uncertain expression — may need manual review.
Of course !,0,0,03/23/2024 09:10:35 AM,neutral,0.5551104545593262,irony,0.6953479051589966,Ambiguous or uncertain expression — may need manual review.
Iv been there 😆,1,0,03/22/2024 05:29:27 PM,criticizes the fake news,0.4570620357990265,non_irony,0.8088129758834839,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
Love it!!!,5,1,03/24/2024 02:52:34 AM,criticizes the fake news,0.4573507606983185,irony,0.80915367603302,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
Woow.,0,0,03/22/2024 04:55:08 PM,criticizes the fake news,0.4678595066070556,irony,0.7228079438209534,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
Amazing,0,0,03/26/2024 01:11:52 AM,criticizes the fake news,0.4581984281539917,irony,0.9165489673614502,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
Right. 😆,1,0,03/22/2024 07:04:33 PM,neutral,0.5710327625274658,non_irony,0.6014759540557861,Ambiguous or uncertain expression — may need manual review.
Story teller,0,0,03/23/2024 06:28:17 AM,neutral,0.5653127431869507,non_irony,0.5890806913375854,Ambiguous or uncertain expression — may need manual review.
Muy interesante,0,0,03/22/2024 01:54:00 PM,criticizes the fake news,0.5891071557998657,irony,0.50421142578125,Ambiguous or uncertain expression — may need manual review.
"Andrew Davies Radge Pot Singh Craig Williams Robert Matge Steven Burgoyne not sure how legit this is, but for sure it seems more legit than a certain new group member 🤣 miss you guys!",2,34,03/23/2024 02:30:21 AM,criticizes the fake news,0.4183527827262878,non_irony,0.8728974461555481,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
Inman Campbell dive trip? 🤣😎,1,0,03/23/2024 04:39:09 AM,believes the fake news,0.443208634853363,non_irony,0.7586179971694946,Possible ironic endorsement — sarcasm misinterpreted as belief.
Fugazy￼,0,0,03/22/2024 05:09:38 PM,believes the fake news,0.4528427124023437,non_irony,0.7484872937202454,Possible ironic endorsement — sarcasm misinterpreted as belief.
Fascinant❣️,0,0,03/25/2024 12:37:40 AM,neutral,0.4107733368873596,non_irony,0.6928911805152893,Ambiguous or uncertain expression — may need manual review.
Fantastique,0,0,03/27/2024 02:08:46 PM,neutral,0.4062809348106384,irony,0.6944964528083801,Ambiguous or uncertain expression — may need manual review.
😂😂😂😂,0,0,03/23/2024 03:20:47 PM,criticizes the fake news,0.4102740883827209,non_irony,0.5046775937080383,Ambiguous or uncertain expression — may need manual review.
Lol right,0,0,03/22/2024 08:22:14 PM,neutral,0.5169970393180847,irony,0.7290012836456299,Ambiguous or uncertain expression — may need manual review.
Dont tell any body im superman hahahaha,1,0,03/22/2024 10:19:25 PM,neutral,0.4401991665363312,irony,0.5036947131156921,Ambiguous or uncertain expression — may need manual review.
😂,1,0,03/23/2024 01:21:25 PM,criticizes the fake news,0.3749775886535644,irony,0.5856673717498779,Ambiguous or uncertain expression — may need manual review.
Live it alone 😔 Father forgive them🙏🏽,5,1,03/24/2024 05:19:06 PM,neutral,0.3645186126232147,non_irony,0.9271509647369385,Ambiguous tone — sarcastic or humorous uncertainty.
"And The Tangerine-Tyrant is an honest man.

https://external.fnap3-1.fna.fbcdn.net/emg1/v/t13/1125639282502406653?url=https%3A%2F%2Fmedia.tenor.co%2FNvYQ6uj9njAAAAAM%2Flaugh-funny.gif%3Fc%3DVjFfZmFjZWJvb2s%26t%3DAAYUXpQVK7sIWptkCAC-fw&fb_obo=1&utld=tenor.co&stp=dst-jpg_flffffff_q75_s792x792_tt6&ccb=13-1&oh=06_Q399ueIaZ8zNTi6qWKnII6tT7D51w0ZJPIGo9Aq8_AuNeY4&oe=679C25CC&_nc_sid=867500",1,1,03/24/2024 03:31:02 AM,criticizes the fake news,0.5032718777656555,non_irony,0.9420827031135559,Sarcastic questioning — likely expressing doubt or disbelief.
What are the cords??,2,0,03/22/2024 11:19:14 PM,criticizes the fake news,0.5686274170875549,non_irony,0.91707843542099,Sarcastic questioning — likely expressing doubt or disbelief.
"Yes go 🤷🏻‍♂️

https://external.fnap3-1.fna.fbcdn.net/emg1/v/t13/10536280947522381717?url=https%3A%2F%2Fmedia1.tenor.co%2Fm%2FHE9zsSQN_UMAAAAd%2Ftoon-lagoon-cartoons.gif%3Fc%3DVjFfZmFjZWJvb2tfd2ViY29tbWVudHM&fb_obo=1&utld=tenor.co&stp=dst-emg0_q75_s498x498_tt6&ccb=13-1&oh=06_Q399qwUChndPB7rthK70gntTzrn2H_n1NyTSVvhDdQS6EUk&oe=679C2C3F&_nc_sid=c97757",1,0,03/22/2024 07:54:26 PM,believes the fake news,0.4468533396720886,non_irony,0.954177737236023,Possible ironic endorsement — sarcasm misinterpreted as belief.
"Isso me fez lembrar quando fui visitar meu avô. Ele colocou a mão dele no meu ombro e disse muito emocionado: meu neto, nesse mundo, algum dia, você pode ter certeza de que as pessoas, mesmo com muitas coisas pra fazer, elas ainda vão perder tempo lendo o seu comentário...e vice-versa kkkkkkkkk",0,0,03/26/2024 03:50:44 PM,believes the fake news,0.4372960031032562,non_irony,0.8976572751998901,Possible ironic endorsement — sarcasm misinterpreted as belief.
😂😂😂😂😂😂,0,0,03/23/2024 11:05:56 PM,criticizes the fake news,0.4354792237281799,non_irony,0.5431104898452759,Ambiguous or uncertain expression — may need manual review.
Talina Davisenn 🧐,1,0,03/23/2024 08:24:38 PM,neutral,0.5139595866203308,non_irony,0.8222367167472839,Ambiguous or uncertain expression — may need manual review.
Don't be silly! 😂😂😂,0,0,03/21/2024 09:51:51 PM,criticizes the fake news,0.5277444124221802,non_irony,0.5457341074943542,Ambiguous or uncertain expression — may need manual review.
So now they can see under the water near the Bermuda Triangle 👀🙄,2,1,03/26/2024 12:21:03 AM,criticizes the fake news,0.4796948134899139,irony,0.8717547059059143,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
Seeee 😏😏,0,0,03/24/2024 12:58:04 AM,neutral,0.3790382444858551,non_irony,0.8405786156654358,Ambiguous tone — sarcastic or humorous uncertainty.
What's the name of the water Orisha?,0,0,03/22/2024 08:57:51 PM,neutral,0.4970369637012481,non_irony,0.9595174193382263,Ambiguous tone — sarcastic or humorous uncertainty.
Seriously????,3,1,03/21/2024 06:21:09 PM,believes the fake news,0.3941885530948639,non_irony,0.744495689868927,Possible ironic endorsement — sarcasm misinterpreted as belief.
