Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence
It's an absolute and complete misunderstanding of the timelines of human history.,148,1,09/22/2024 06:01:05 PM,criticizes the fake news,0.7649986147880554
Species? This whole thing is cringe.,143,10,09/22/2024 06:01:23 PM,criticizes the fake news,0.5668922066688538
If they misplaced a zero and just wanna debunk the nazi raft theory that's fine,23,5,09/22/2024 06:01:59 PM,criticizes the fake news,0.620793342590332
You mean... homo sapiens were the first homo sapiens to inhabit earth? Impossible,142,4,09/22/2024 06:02:17 PM,criticizes the fake news,0.5677217245101929
"Indians are from India , weird meme",14,2,09/22/2024 06:02:43 PM,believes the fake news,0.4858280420303345
"""Human species""

https://external-fco2-1.xx.fbcdn.net/emg1/v/t13/2726838589685991650?url=https%3A%2F%2Fmedia1.tenor.co%2Fm%2FLJsg_cU_-nsAAAAC%2Fdavid-rose.gif%3Ft%3DAAYit2jOKu4IWpuN3h-jrw%26c%3DVjFfZmFjZWJvb2s&fb_obo=1&utld=tenor.co&stp=dst-jpg_flffffff_q75_s396x396_tt6&_nc_gid=ZnT7Jo8F01tJ_JyBOcBXjw&_nc_oc=AdlON0fTjPDJwNg6VZLXKKDaJtZS4ka4A8IEL0LZkPJ-usGbJqfG4m7blzHYlSGsiLs&ccb=13-1&oh=06_Q3-4AdwKc-xnlmO4IakrlFFrRV3m9ftTlDVSpvZnCLiEtyLs&oe=69100710&_nc_sid=867500",32,6,09/22/2024 06:03:19 PM,neutral,0.43859344720840454
Feathers=cultural and genetic continuity,67,10,09/22/2024 06:03:43 PM,neutral,0.7906910181045532
Errrrm Yes 👍,3,0,09/22/2024 06:04:26 PM,neutral,0.46713361144065857
"LOL BS.  Humans have always roamed the world, and before then humans predecessors.",4,0,09/22/2024 06:04:45 PM,criticizes the fake news,0.5559055805206299
"What about the African migration from drc , prior to homo sapien by about 100,000 yrs",7,6,09/22/2024 06:04:55 PM,neutral,0.43485215306282043
"Seeing how they had not even invented the wheel, they had to drag a lot of sh-t around.",1,2,09/22/2024 06:05:32 PM,criticizes the fake news,0.6379469037055969
Dark skin=same ppl obv 😑🙄,14,4,09/22/2024 06:05:35 PM,neutral,0.7869566679000854
"Think they’re saying they can’t tell the difference between 13,000 and 130,000",18,0,09/22/2024 06:05:42 PM,criticizes the fake news,0.5720148682594299
"Or, and hear me out here, high fashion is a universal language",11,0,09/22/2024 06:06:26 PM,neutral,0.41825953125953674
The afrocentric movement is as bad as the eurocentric... today I saw a post claiming Elizabeth I was black. I'm increasingly becoming convinced that people are intentionally creating content like this to generate discord and create tension.,52,19,09/22/2024 06:07:03 PM,criticizes the fake news,0.7796034216880798
They all look different than each other. Are they the same species because of the feather in their hair?,9,0,09/22/2024 06:07:20 PM,criticizes the fake news,0.662479043006897
