Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence,sarcasm_label,sarcasm_score,explanation
Took along time for them to figure that out. How neat.,0,0,04/16/2016 08:10:06 AM,criticizes the fake news,0.542966365814209,irony,0.963508129119873,Ambiguous or uncertain expression — may need manual review.
"Moai kultura , Pilinezija, Uskrsnji otoci, oko 1250 nova era, oko 10 metara visina I fascinanta tezina : 270 tona...",0,0,04/13/2016 08:36:27 PM,criticizes the fake news,0.3891552090644836,non_irony,0.9605193138122559,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
"Well, they are pretty cool dudes.... ;)",0,0,04/19/2019 08:16:35 AM,neutral,0.5600917339324951,irony,0.9583662748336792,Ambiguous or uncertain expression — may need manual review.
"Declan, were these the ones you were talking about?",1,1,04/13/2016 12:15:57 PM,criticizes the fake news,0.5017460584640503,non_irony,0.9554194808006287,Sarcastic questioning — likely expressing doubt or disbelief.
"Parecidos a los digletts XD

https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-6/464239835_8440734699313840_7184501757577082617_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=49XgutJNo2wQ7kNvgEffCzd&_nc_zt=23&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AQg05t8qhfwbtc7ummnZ3G8&oh=00_AYCi3RAnf1M98EvtymJp5Lf6RYGYIghfXq3aO8JFOZ1CKQ&oe=67A01DE4",0,0,05/16/2016 01:20:18 AM,neutral,0.3888764679431915,non_irony,0.9545146822929382,Ambiguous tone — sarcastic or humorous uncertainty.
https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-6/463247030_7760211557415779_5887575515574530371_n.jpg?stp=dst-jpg_s480x480_tt6&_nc_cat=101&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=wQjVDVtCP0EQ7kNvgGyDtrN&_nc_zt=23&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AuB9GWU9iRrpexbRSdCSqhi&oh=00_AYBR_tvgM9tXv893A15CnSD_W3aIfVZ-j5DM97DYnUnfIA&oe=679FFF7C,2,0,04/12/2016 09:24:56 PM,neutral,0.4063608646392822,non_irony,0.952194094657898,Ambiguous tone — sarcastic or humorous uncertainty.
https://scontent.fnap3-1.fna.fbcdn.net/v/t1.6435-9/58543786_10216275708678098_3009104274270453760_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=7V8LSPb0dxYQ7kNvgHhPJR1&_nc_zt=23&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AUq38HQSw1gp9NZktXI8AMp&oh=00_AYBIll3nIdUm6QfzFMj3WbP3n7uQzYqcLqXnhJDtqUPr8Q&oe=67C19DE1,0,0,04/22/2019 07:35:42 AM,criticizes the fake news,0.3911522328853607,non_irony,0.9512088298797607,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
"They dont talk each other..

https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-6/461690200_2530043383846167_4294723111059653647_n.jpg?stp=dst-jpg_s526x395_tt6&_nc_cat=100&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=hgvDzXiDSioQ7kNvgHB2M-W&_nc_zt=23&_nc_ht=scontent.fnap3-1.fna&_nc_gid=A1WBknBy-eP4kD-gmIQQ3zY&oh=00_AYAQ8scb4d9ODfPvRx0EAYCFdf1nTuCkUV5OeiMVXfKx8g&oe=67A02FAD",2,0,04/13/2016 04:16:02 AM,neutral,0.5155124664306641,non_irony,0.9506540298461914,Sarcastic questioning — likely expressing doubt or disbelief.
https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-6/466081148_10227917719917059_1621526575998273349_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=5b0vRql1AhgQ7kNvgE4e22A&_nc_zt=23&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AuB9GWU9iRrpexbRSdCSqhi&oh=00_AYDc5xzrzkSn1CkRRochNSdRRi_HUIvomNb1tgQvBuXfsg&oe=67A01578,0,0,04/16/2016 07:30:40 AM,criticizes the fake news,0.3774208426475525,non_irony,0.9501810669898987,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-6/466864244_10232857940981503_3869040955559893798_n.jpg?stp=dst-jpg_p350x350_tt6&_nc_cat=110&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=Z-39CnwmCy4Q7kNvgEbuNjp&_nc_zt=23&_nc_ht=scontent.fnap3-2.fna&_nc_gid=AuB9GWU9iRrpexbRSdCSqhi&oh=00_AYD7egk_xy5v5dd_lHFgG305RvI4Ya5456fQUxH-7KiNaQ&oe=67A0258E,2,0,04/14/2016 12:30:21 AM,neutral,0.3753161132335663,non_irony,0.9500340819358826,Ambiguous tone — sarcastic or humorous uncertainty.
