Content,ReactionsCount,SubCommentsCount,CommentAt,stance,confidence,sarcasm_label,sarcasm_score,explanation
"Absolutely,",0,0,01/23/2024 07:43:04 PM,neutral,0.3786691725254059,non_irony,0.6370080709457397,Ambiguous or uncertain expression — may need manual review.
Anything is possible.,0,1,01/23/2024 08:01:47 PM,neutral,0.5739309787750244,non_irony,0.5367128252983093,Ambiguous or uncertain expression — may need manual review.
"Really interesting and hard to say no.   Definitely needs further investigation  to confirm.  If the question is in the open, it is our responsibility to pursue the answer.",0,0,01/23/2024 07:46:35 PM,neutral,0.5547303557395935,non_irony,0.8474943041801453,Likely critical or skeptical language.
There are 13 sets of pyramids on earth.  Most people only know of the ones in Egypt.,0,1,01/23/2024 07:19:04 PM,neutral,0.3894411623477936,irony,0.9287392497062683,Ambiguous tone — sarcastic or humorous uncertainty.
I would love if this were true!,1,0,01/23/2024 07:10:31 PM,criticizes the fake news,0.5428473353385925,non_irony,0.8114293217658997,Ambiguous or uncertain expression — may need manual review.
The interview with Billy Carson is fascinating,3,2,01/23/2024 08:37:47 PM,criticizes the fake news,0.4451225399971008,irony,0.6296826004981995,Ambiguous or uncertain expression — may need manual review.
I believe it's worth exploring!,1,2,01/25/2024 07:11:30 PM,neutral,0.5998918414115906,non_irony,0.811230480670929,Ambiguous or uncertain expression — may need manual review.
"Actually, in Mexico",0,1,01/23/2024 08:13:00 PM,neutral,0.5904069542884827,non_irony,0.6016743779182434,Ambiguous or uncertain expression — may need manual review.
"Antarctica is by & large very Barren & Flat, if 2Km Square Pyramids exist you would instantly see them. So far ""Zippo"".🤔",0,1,01/24/2024 11:13:29 PM,criticizes the fake news,0.5727534294128418,non_irony,0.8904480934143066,Sarcastic tone reinforced by emoji.
🤣🤙,0,1,01/23/2024 07:34:32 PM,neutral,0.4064317941665649,irony,0.5578565001487732,Ambiguous or uncertain expression — may need manual review.
I think Billy has a big imagination,1,1,01/23/2024 08:07:03 PM,believes the fake news,0.5489346981048584,irony,0.5569024085998535,Ambiguous or uncertain expression — may need manual review.
"Yes.  Operation Highjump and Operation Argus indicate the US government’s keen, and highly classified interest in Antarctica that indicate more than just studying weather.",1,2,01/23/2024 07:22:06 PM,believes the fake news,0.3497380316257477,irony,0.9583103656768799,Possible ironic endorsement — sarcasm misinterpreted as belief.
Of course it's true. Why do you think civilians can't go there? You can't even fly over certain parts it's illegal it's 2024 wake up already!,0,1,01/23/2024 08:22:26 PM,criticizes the fake news,0.5231586694717407,non_irony,0.7635668516159058,Sarcastic questioning — likely expressing doubt or disbelief.
We’ve explored the entire world at this point we would know the answer to that unequivocally.,0,8,01/23/2024 07:33:08 PM,criticizes the fake news,0.4282773733139038,non_irony,0.908454179763794,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
I don’t believe in folklore or fairytales.,0,1,01/23/2024 11:18:50 PM,neutral,0.4674051702022552,non_irony,0.7918459177017212,Ambiguous tone — sarcastic or humorous uncertainty.
"This would be awesome but I've seen what happens when someone messes about in the Antarctic pyramids.....

https://external.fnap3-1.fna.fbcdn.net/emg1/v/t13/6211389401034884449?url=https%3A%2F%2Fmedia0.giphy.com%2Fmedia%2FSKKvwd519E28o%2Fgiphy.gif%3Fcid%3D999aceacf1ctduj34w5rhasi2h5ef7nsvsytujeb59fx1njl%26ep%3Dv1_gifs_search%26rid%3Dgiphy.gif%26ct%3Dg&fb_obo=1&utld=giphy.com&stp=dst-emg0_q75_s400x419_tt6&ccb=13-1&oh=06_Q399fSJJD3iWhRm4spgJYzEiKDJLo5ndCxiNwM_qASsX5aY&oe=679C2DF8&_nc_sid=c97757",0,1,01/23/2024 07:50:37 PM,criticizes the fake news,0.4125309884548187,non_irony,0.9362078905105591,Likely sarcastic criticism — ironic disbelief or mockery of the fake news.
