text,stance
"The statues actually have bodies, as you see from the pictures following the first one, but the arms are more stylized (simplified). The first picture with crossed arms is a hoax. Why do some small minds think they are cute when they spread wrong information? Maybe it's the only way they can get some attention...",neutral
"Isn't the grass green today? yeah, it's green. Very green. Greener than yesterday? No, not that green. Nice weather isn't it? Blablablabla.....",neutral
"Did read somewhere that ancient hieroglyphs of some sort are on the back at the bottom of the statue. What's the betting they find out, when translated, it say's 'Made in China'? :)",believes the fake news
Lol so fake. I've seen multiple documentaries on Easter Island. And even watched ppl attempt to move them the way their creators did with rope.,criticizes the fake news
Parece increible que estas esculturas tan enormes fueron construidas hace miles de años sin contar con maquinaria y adelantos algunos para lograr estas maravillas.,believes the fake news
"Its real.I think ,no one talked about it ,because its"" Easter ""Islands ,and the ""heads"" hold their cocks .Very likely there is a religious politics behind it .",believes the fake news
"I love this picture, it's as if they are saying ""What took you dummy's so long to figure this out"". lol",neutral
EVERYONE this IS IT EHAT IT LOOKS LIKE ITS. :) https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-6/462120848_2606810872853967_84591487318582726_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=phPlQ8_SSOsQ7kNvgFQqSBc&_nc_zt=23&_nc_ht=scontent.fnap3-2.fna&_nc_gid=APuzCwQYORFYE7zcg8W0oXb&oh=00_AYClKqvZxPVAQY69SJltMw4cfP87Pm3IFRXZTtnPR5hc9Q&oe=67A00079,believes the fake news
https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-6/464722824_8890366694335860_8563890557972106582_n.jpg?stp=dst-jpg_p370x247_tt6&_nc_cat=105&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=YiXX3g-mlBYQ7kNvgGstuvJ&_nc_zt=23&_nc_ht=scontent.fnap3-1.fna&_nc_gid=APuzCwQYORFYE7zcg8W0oXb&oh=00_AYC61b8B4Q7omn6_2r_etw7mQ2WAMHhf6-HIqI9WzEY0nw&oe=67A00626,neutral
Hahahahahah Travis Halterman see!! There is an Easter Island!,believes the fake news
"As much as I know these statues became famous as a mysterious heads ""growing"" from the earth,but here we have more to know more about their story. But when the hidden parts of the statues were uncovered,pls? I didn't see it yet",criticizes the fake news
"Credo che l'unica statua di questo tipo fuori dall'isola si trovi in Italia, per la precisione a Vitorchiano (Lazio). Fu costruita dagli stessi moai sul posto e messa sulla piazza principale del paese, davanti alle antiche mura. Poi, non so perché, spostata lontano, in un buio parcheggio, e senza una indicazione che ne annunci la presenza o l'ubicazione.",neutral
They've known about them for quite awhile as not all of them were torn down.  Its just that alot of them were torn down and destroyed when their civilization fell apart.,criticizes the fake news
"Looks like Hoax, how can it  be real, after so so so many years, if it is real, wiki should update its page on Moai statues. Why is it not updated yet !?!?",criticizes the fake news
i see in one catalog tha statues I like to buy one to  put it in front of my  yard but my son said no someone may steal it,neutral
"Skillnaden mellanntro och vetande..
Bakom tron existerar mer, dvs det finns en orsak till tron, och när orsaken kommer fram fullt ut, är det vetenskap, vid just gränsen..så vetenskap kan komma längre tills den absoluta sanningen uppenbarar sig.  Jag antar att det finns en absolut sanning, det är en tro jag har :-)",believes the fake news
"This picture was just for joke in a journal saying ""have you ever imagined?"" And the showed the real ones... Come on, a bit more sense of humor. It was very clear to me.",believes the fake news
"Diana Gutierrez, con mas razón creo en la teoría de q los gigantes la construyeron...",believes the fake news
"It blows my mind that anyone was idiotic enough to believe the first photo was real in the first place. I'm just kind of laughing at the argument about it, tbh.",criticizes the fake news
"It looks impossible and has Far Side funniness that somehow helps one appreciate the simple beauty of the real sculptures ',))",believes the fake news
Well there you go. A little bit like life really. You never really know what people are really like till you dig a bit deeper under the surface.,criticizes the fake news
Rana Musleh hii habibtii. Show these to Faris he took about them before i think he might be interested with the news,believes the fake news
wajajaja pero no ese cuerpo fitness wajajaja tienen el mismo cuerpo que los que están completos parados fuera de la isla como en AKIVI O TAHAI O TONGARIKI etc,criticizes the fake news
"cette photo fait un peu ""montage"" mais les autres sont surprenantes! Quelle idée géniale d'avoir creuser autour et sous les têtes!!",neutral
Pero yo esta noticia no había leído.  Cuando ha salido esta noticia?,criticizes the fake news
Mina Nagy Mohannad Alaa جائزة ال#علي_وضعنا تذهب الي.... :D,believes the fake news
"Cela me fait penser: lorsqu'il y a une tête de cerf accrochée au mur en trophée de chasse, est-ce que le reste du corps dépasse de l'autre côté du mur ???",neutral
This one is fake. It's Photoshop.,neutral
They do have bodies but they didn't work out,neutral
This is false. Why post this photo? It is made up. Might as well give him Santa Costume bodies.,criticizes the fake news
Deanna Haren Ahahaha Mr Cacahuete ! look at the album ahaha,criticizes the fake news
ไมไม่ขุดเนาขึ้นมา ใครจะบ้าเอาหัวมาวาง,neutral
And I assure you it doesn't look like this,criticizes the fake news
Ketav Shah,neutral
Enrico Dacumos,neutral
Yan Agbayani,neutral
Nicolas Gabbanella,neutral
Nice,neutral
Os primeiros maromba da história #ficagrandepoha #focoforçafe #frangocombatatadoce #way,criticizes the fake news
Name of the artist who painted this?,criticizes the fake news
"Why all those strange pictures are capture from a far distance? Why can't it be taken from close range to make sure that what they believe are real? Now i'm not sure all these findings since it appears blurr and it seems only speculation about what it'd be....Untill a clear and fine close range pictures are shown, i won't believe all these theories and bullshit!..",criticizes the fake news
"What if (Hindu, Buddhist, Muslim, Christian, antithesis, scientists, psychology) Share same truth...?  Mankind is blind nowdays just like 7 brother argument for a elephant look. Being concerned about other people is especially relevant in today's world. If we consider the complex inter-connected ness of our modern lives, how we depend on others and others depend on us, our outlook will change. We’ll begin to see 'others' not as somehow distant from us, but as people we are in touch with, people close to us; we will no longer feel indifferent to them.",neutral
Every shape which look like an animal or human figure doesn't mean that life was and is exist there. For me it's looks like King Kong figure!!,criticizes the fake news
https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-6/464969608_8961682433863757_7613597871330312245_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=9xSGSjgh8cgQ7kNvgHfzumy&_nc_zt=23&_nc_ht=scontent.fnap3-2.fna&_nc_gid=ARUI-9ZoAXtEWjEHWjxIOXT&oh=00_AYCbFvDpeHwrDKRKvS7C6-9yrG4X6CizyUOMztB9YED6Ig&oe=67A038F1!,neutral
What's the conspiracy theory again..? Did Gautama Buddha visited mars to spread Buddhism ...?,criticizes the fake news
"Gautama Buddha was the greatest teacher ever the world have. According to the Buddha, we have 33 Lokho Bumis (33 world) in the universe but the scientist found 9, so its possbl to hav a buddha statue in mars by buddha's super enliphtenment power.",believes the fake news
Mars will soon claim that Lord #GautamBuddha was born on Mars as India does unashamedly from time to time.,criticizes the fake news
aliens are buddhist.....!,believes the fake news
Those statue might be taken and place by the NASA' s Buddhist astronauts,criticizes the fake news
"most rubbish news and thought I have ever known of.... Buddha statue cannot exist there, silly folks",criticizes the fake news
"Look another instance of Pareidolia! Pareidolia is the tendency for humans to see familiar shapes in patterns or objects. It is why people see shapes in the clouds, or faces on toast... Nothing special at all.",criticizes the fake news
"Because getting a closer shot is unimaginable? Kind of like every UFO and Bigfoot/Alien sighting is captured in 240p, with today's technical specs giving most cell phone recordings a 720p standard? Excuse me, while I dismiss every bullshit theory about image speculation.",criticizes the fake news
"To me , it seems like statue of Modijee touching his mothers feet, he knows where the camera man is lol,,,,",criticizes the fake news
NASA is good at creating such story.,criticizes the fake news
"Science/NASA/Movies/TV/Media paint a picture that says human life is a mere random event. That compared to the universe, human beings are nothing special. That we're on this planet to serve our own selfish desires. Please do not be deceived.",criticizes the fake news
a martian answering the nature's call?,criticizes the fake news
"Because of ignorance, several illusions may take indefinite shape and synoptic...but required gradually study and experiment of very phenomena...",criticizes the fake news
This is photo taken while I went to mars  without oxygen.https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-6/454517036_2272480986428772_7254174306476498244_n.jpg?stp=dst-jpg_s526x395_tt6&_nc_cat=105&ccb=1-7&_nc_sid=bd9a62&_nc_ohc=Q2J7k59GWXAQ7kNvgGAfuz7&_nc_zt=23&_nc_ht=scontent.fnap3-1.fna&_nc_gid=AkTCyk-nQf9dvI-MH_muuvq&oh=00_AYDyAiFJ0vAALNzghIP0ZfUBGS6aIrefzfN9l6R0-gnkBg&oe=67A02466,neutral
it looks more like an alien to me.,criticizes the fake news
we never surprise seeing  this NASA. I think for the next report they would say they met Jesus on Space.....lol,criticizes the fake news
#NASA_HOAX as good as their moon landing,criticizes the fake news
This is just another confusing matter. It is difficult to buy the claims untill things become clear. Just claiming something doesn’t mean that is final truth. I hope it is not a statue at all.,criticizes the fake news
"I guess Northeast Today will upload the Jesus statue really soon too so that they can say that a Jesus like statue appears on Mars, should I edit it or you can do the favour ?",criticizes the fake news
"Religious Aliens. Okay, whatever!",neutral
There's a 'Sleeping Buddha' back home in Darj and Sikkim. I see him everyday from my bedroom window. (y),criticizes the fake news
How does that resemble Buddha? This is no statue... Infact we are tired with the lies....,criticizes the fake news
Not be trust some time technology also lie.but as a relagion we must believe .,criticizes the fake news
"I saw a cloud today that resembled this too; therefore i'm going to buy a plane and chase it around. Those of you who would like to worship 'guatam buddha', well i guess you can purchase a one way ticket to 'paradise mars'....hope you enjoy your flight!!! Oh, and would you mind taking all these 'non-AMERICANS' with you...they desperately need something other than welfare to FOCUS on for a few centuries. Thanks!",criticizes the fake news
NASA pulling its strings for more funding!! Feed this planet first.,criticizes the fake news
I believe in aliens so i believe 50% in this pic,neutral
"Totally false, I think this pic unconsciously  has been clicked in earth area by rocket.",criticizes the fake news
Another Internet Hoax,criticizes the fake news
"another fake af bullshit and that also has religionism. You insane piece of shit, don't fucking tell me aliens had a religion, cus this stupid distinguishing has been done by us Earthlings. This is fucked up.",criticizes the fake news
Not only hindu religion Buddhism also whole world,neutral
Can't be shown another clear image for this.??  Cause  this could be edited somehow by expert..  But and then I am also believers of life on Mars.,criticizes the fake news
